Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@WolisiP,"@excelafagha @MBuhari Audio money bro, forget those clowns",2020-04-01 14:41:21,en,,1.0,0.0,@excelafagha,Profit,"Grass isn't always greener on the other side,it's greener where you water it!",11654.0,18997.0,857.0,864.0,0.0,False,,
@segelu02,"@MBuhari Baba hunger kilss faster than virus oooo
Total lockdown without money

You only care for salary earners what about people that don't work in company that if they don't go out a day they can't eat, is there any provision for them?",2020-04-01 14:41:14,en,,0.0,0.0,@MBuhari,Olusegun,Easy going person and God fearing,53.0,461.0,95.0,29.0,0.0,False,,
@Bashreigns7975,@SympLySimi @MBuhari And now what does @MBuhari have to do with NEPA again..... Pls is not everything that u can blame FG pls o,2020-04-01 14:41:12,en,,0.0,0.0,@SympLySimi,Bash Junior,"Official twitter of Bash😎. 
Real Fan of @wweRomanreigns beliv that 💪💪.
Follow for follow believe me🙋🙋🙋. ROLE M. @JohnCena, TV @CW_arrow, @Stranger_things.",10311.0,24825.0,6351.0,6178.0,2.0,False,,
@Adetunbi_1,"@olajids @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct @b_winklevoss For now, you can spare me. I have seen enough.. Moti give up.",2020-04-01 14:41:11,en,,0.0,0.0,@olajids,Adetunbi,"A realist, innovator, future activist, a freelance writer, business development and innovation executive.. my opinions are mine.. #arsenal",3317.0,4668.0,450.0,366.0,1.0,False,,
@ameenparees,"@Autan_Babanta @Donhot2 @elrufai @GovKaduna @MBuhari @NGRPresident @BashirAhmaad @Aasajoh @M_Serlees @Safreenarrhh @abdulmajidiya @Ladyposhhhhh @Fatymukaila @__bilqeesa @Zeeenarhg @mr_motion01 Hahaha
Can you handle it",2020-04-01 14:41:10,en,,0.0,0.0,@Autan_Babanta,THE LEARNER,🔴⚪️ #AFC ⚽... 👑 AL,30924.0,26733.0,3392.0,3363.0,2.0,False,,
@Friendzyontv,@renoomokri @MBuhari Exactly my thoughts...in fact what you said isn't new as Nigerians have been clamouring for such since the commencement of the #LockDown. I hope they listen and implement it,2020-04-01 14:41:07,en,NG,0.0,0.0,@renoomokri,Friendzyontv,"Twin brothers,TV Hosts & Models.Bookings/Enquiries cal my manager on:+234-80-91269657
Instagram:@Friendzyontv
Facebook:@Friendzyontv",4185.0,10647.0,370.0,626.0,1.0,False,,
@Victor73962118,@renoomokri @MBuhari You're on point,2020-04-01 14:41:06,en,,0.0,0.0,@renoomokri,Olasupo Victor,Simplicity is the best,19.0,18.0,164.0,15.0,0.0,False,,
@sirchuksbond,"@Forch_une @SympLySimi @MBuhari Port my man, you done reach here too?😂😂",2020-04-01 14:41:05,en,,0.0,0.0,@Forch_une,The Real NCK,,1060.0,7117.0,202.0,148.0,0.0,False,,
@tobiiihh,@sani_atk @BashirAhmaad @abdul4saeed @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Is it your poor?,2020-04-01 14:41:03,en,,0.0,0.0,@sani_atk,Uncle Adigun,"@FCBarcelona
 fan,
Active Citizen, 
Veterinary Medicine student,
Salesman",4898.0,7062.0,835.0,737.0,1.0,False,,
@TravelingTanza1,@jenny_kreative @SympLySimi @MBuhari Not right with this. So wrong.😥,2020-04-01 14:41:01,en,,1.0,0.0,@jenny_kreative,Traveling Tanzanite,,152.0,1097.0,248.0,12.0,0.0,False,,
@Eddiexy,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct As usual its always the North that will benefit this scheme.,2020-04-01 14:41:01,en,,0.0,0.0,@BashirAhmaad,Psalmist,Unapologetically Care-Less 🙄,9397.0,26613.0,1800.0,1972.0,2.0,False,,
@papabaks,"@renoomokri @MBuhari That step too might not be too perfect. What of a student that have his school fees of N250,000 in his account no with total value of N255,000? Can we say he’s not within that category?",2020-04-01 14:40:58,en,,0.0,0.0,@renoomokri,Bakare Oluwaseun,"Easy Going & Down to Earth. 
Social Media Promoter |
IT Consultant|Photographer| Blogger| Husband|Dad 

Call:08065057606               
Email:papabaks@gmail.com",31223.0,14178.0,2221.0,1258.0,14.0,False,,
@officialsucces,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Bros @BashirAhmaad, I knw you are close to the govt, pls tell them that they should use Nepa staff that use to share nepa bills and cut light to distribute this money to poor Nigerians. They need this money and it will go a long way for them during this lockdown and stay-at-home",2020-04-01 14:40:55,en,,0.0,0.0,@BashirAhmaad,d’actualizer,"we are captives of our own identities, living in prisons of our own creation//building technology//site manager//baker of pastries//freelancer//lover of God",96.0,1216.0,387.0,23.0,0.0,False,,
@ameenparees,@Autan_Babanta @Donhot2 @elrufai @GovKaduna @MBuhari @NGRPresident @BashirAhmaad @Aasajoh @M_Serlees @Safreenarrhh @abdulmajidiya @Ladyposhhhhh @Fatymukaila @__bilqeesa @Zeeenarhg @mr_motion01 😂😂😂,2020-04-01 14:40:50,und,,0.0,0.0,@Autan_Babanta,THE LEARNER,🔴⚪️ #AFC ⚽... 👑 AL,30924.0,26733.0,3392.0,3363.0,2.0,False,,
@haryourbhamie,"@renoomokri @MBuhari same thing I posted regarding pastor Oyedepo making donations.. the church has house fellowship centers, they know the poor and needy on the grassroots, let them assist the less privileged amongst them instead of getting credit for making donations.",2020-04-01 14:40:48,en,,0.0,0.0,@renoomokri,ay,lollzz,621.0,623.0,564.0,86.0,1.0,False,,
@AlutaTanko,"@renoomokri @MBuhari Most of those Billionaires are very heartless, with what is happening in Nigeria. They are all contributing to the federal government to gain from the federal government later. The most annoying of the contributors is 2Baba, contributing 10million to the FG",2020-04-01 14:40:41,en,,0.0,0.0,@renoomokri,Tanko Ayuba Gideon 🇳🇬⚪📸📽,"photographer📷|| Event Planner || An Actor ||
A lover of football & a Chelsea fc fan",349.0,137.0,2845.0,188.0,0.0,False,,
@akinleola,"@SympLySimi @MBuhari Simisola, ma da ara e laamu. Were ni won. Eti won ti di.  Aanu Jinna si oju won. They are monsters who think everything in life is about money. They do not know what empathy is. It is always about lining their purses. God will heal the land and help the less privileged.",2020-04-01 14:40:41,en,,0.0,0.0,@SympLySimi,ILEOLA AKIN-YUSUF,"A staunch MUFC fan. An astute All Progressives Congress member. An Educationist, A philanthropist in my own right and a Public health expert.",1524.0,514.0,644.0,179.0,1.0,False,,
@fenway4u,@NAIJAMUSICCITY @MBuhari Lazy youth,2020-04-01 14:40:39,en,,0.0,0.0,@NAIJAMUSICCITY,akinomoakin,,120.0,70.0,112.0,8.0,0.0,False,,
@africansdream1,"@BashirAhmaad @MBuhari @FMHDSD Oga Bashir what's these now,why will anyone display cash like this. In this 21st century. Why can't we use our bvn to sort this thing.cant we try to make things workout in an organized way.pple ll stil com and queue again.",2020-04-01 14:40:33,en,,0.0,0.0,@BashirAhmaad,CARGO PARROT,young and vibrant freight forwarder both by air and by sea to and from around the world. a trial will satiate your thirst for good service,3736.0,1263.0,2549.0,595.0,1.0,False,,
@JBrightThomas,@renoomokri @MBuhari Mr Reno you too intelligent.... I just hate and love you for being too intelligent I swear 👍,2020-04-01 14:40:30,en,,0.0,0.0,@renoomokri,JBT,Just phenomenal,647.0,2958.0,456.0,112.0,0.0,False,,
@IamEvritinNice,@renoomokri @MBuhari Should we trust help from this same China ?,2020-04-01 14:40:29,en,,0.0,0.0,@renoomokri,jerry young,Me....,1105.0,19.0,287.0,82.0,0.0,False,,
@Edwins_XO,@peterpires321 @SympLySimi @MBuhari Ahan 😂😂😂😂,2020-04-01 14:40:27,en,,0.0,0.0,@peterpires321,Family GUY⛪,"Follow, I'll follow back| Fun to be with ♥",6906.0,11133.0,2410.0,3027.0,1.0,False,,
@Jegrayy,@saaaadeen @Chrisbamidele @MBuhari Nobody force him to contest tho,2020-04-01 14:40:25,en,,1.0,0.0,@saaaadeen,Olayinka,,18424.0,90352.0,9824.0,9285.0,5.0,False,,
@Phranoo,@SympLySimi @MBuhari It's cos they are almanjeri... they are beggars and believes people should also beg for everything too,2020-04-01 14:40:24,en,,0.0,0.0,@SympLySimi,De Guilty Are Afraid,,433.0,213.0,99.0,44.0,0.0,False,,
@moneshi52,"@SympLySimi @harforLabeey @MBuhari Walai... I tire fa. They don't even care how people survive in this lockdown @MBuhari 
So sad!",2020-04-01 14:40:23,en,,0.0,0.0,@SympLySimi,Moneshi De General,,772.0,230.0,400.0,186.0,0.0,False,,
@LaweeMuhammad,@Khalam5 @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Oya put am for my acct😂🤷‍♂️,2020-04-01 14:40:20,en,,0.0,0.0,@Khalam5,Muhammad,one black boy like that|mathematician|jannah in shaa Allah|,6167.0,15831.0,783.0,823.0,0.0,False,,
@Adeyemi79820922,@SympLySimi @MBuhari I wonder o my sister,2020-04-01 14:40:15,en,,0.0,0.0,@SympLySimi,Adeyemi Funmilayo,Am an intelligent and a quiet person,8.0,12.0,15.0,2.0,0.0,False,,
@JulietUdus,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Wen will i get mine 🤦‍♀️,2020-04-01 14:40:08,en,,0.0,0.0,@BashirAhmaad,voke,⚫️lover of God ⚫️goal getter 🔥🖤deltababe #Urhobo,206.0,1004.0,198.0,103.0,0.0,False,,
@sirajudeenmust1,@legitngnews @MBuhari We just hope it's not mere utterance as this's not the first time we have received such good fairy-tales.,2020-04-01 14:39:58,en,,0.0,0.0,@legitngnews,Mustapha Sirajudeen,proudly Muslim😇👳prospective Philanthropist 💲and aspirer of Jannah🤗.,120.0,169.0,354.0,41.0,0.0,False,,
@olajids,"@Adetunbi_1 @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct @b_winklevoss Tired kee, you haven't seen anything",2020-04-01 14:39:54,en,,0.0,0.0,@Adetunbi_1,O-TOLA,"Topnotcher|Town Planning Consultant|AFC|TH14|9ja Football
|Your Dream Husband|*03/29*",30813.0,9816.0,1792.0,957.0,10.0,False,,
@Johnsno31731010,@SympLySimi @MBuhari They have reduced fuel price so NEPA need to Quarantine there self,2020-04-01 14:39:46,en,,0.0,0.0,@SympLySimi,John white,In all give thanks to God. Chealse till i die. Funny enough thou but i meant it 🙌,224.0,2270.0,859.0,122.0,0.0,False,,
@johniyanuoluwa,@SympLySimi @MBuhari U Dey tag Bubu as if Baba sabi watin be Twitter. Ur matter funny me o,2020-04-01 14:39:37,en,,0.0,0.0,@SympLySimi,D_john🇮🇱,,1583.0,6838.0,1093.0,516.0,0.0,False,,
@mech200,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct @Imamofpeace come and see,2020-04-01 14:39:31,en,,0.0,0.0,@BashirAhmaad,🇳🇬 MECH 🇳🇬,#LetsGetNigeriaWorkingAgain #PDP #OnitshaAdo  @ChelseaFC,13175.0,87845.0,12743.0,12510.0,4.0,False,,
@iV4lentijn,@renoomokri @MBuhari Exactly,2020-04-01 14:39:29,en,,0.0,0.0,@renoomokri,K3NJI ❁,"°Lisztomaniac
°Humorous
°Overthinker
°Procrastinator
°Semi-foodie 🍜
°Ass🍑 over Boobs👀
|Hit that follow button, Kemosabe🦍|

📬: i.val3ntijn@gmail.com.",4629.0,50210.0,6749.0,7213.0,1.0,False,,
@kazeemA83450264,@renoomokri @MBuhari As simple as ABCD.,2020-04-01 14:39:25,pt,,0.0,0.0,@renoomokri,kazeem Azeez,"Accountant, Project manager, Entrepreneur.
Simple and Diplomatic and been cheerful when we have compatible goal.",200.0,1465.0,171.0,41.0,0.0,False,,
@makbally,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct What kind of fuckery is this? Are we supposed to applaud this showmanship. And I am sure  hundreds are gathered there. Is there no better way to do this than display this nonsense. Even makes our currency look so worthless. Kai...
Giant of Africa....",2020-04-01 14:39:23,en,,0.0,0.0,@BashirAhmaad,Mmaxix💫,Citizen of the World. Realist without measure.,1373.0,661.0,234.0,185.0,0.0,False,,
@CSDevNet1,"#COVIDー19 Virus is spread from person to person.

Prevent the spread of this virus with proper hygiene and social distancing.

Stay at home and Stay safe! #TakeResponsibility
@NCDCgov
@WHO @antonioguterres @PACJA1 @LSMOH @PiusOko @Sida @Fmohnigeria @MBuhari @AminaJMohammed https://t.co/Gw1wvxTC9J",2020-04-01 14:39:17,en,,5.0,4.0,,#ASustainableNIGERIA,Climate & Sustainable Development Network of Nigeria is a coalition of CSOs for Climate Change & Sustainable Development.,5911.0,944.0,559.0,2477.0,52.0,False,,
@MubarakOyekola,"How are we going to survive? 
Many influential ppl contributed a large amount to you but yet you don't want to give it out, all what you knw is embezzling money, if u take 200m out of dat money nd share it out won't it be easy for all of us to stay at home?
#Selfishness
@MBuhari",2020-04-01 14:39:16,en,,1.0,1.0,@MubarakOyekola,OYEKOLA MUBARAK OYETUNJI,"🔥CEO OF YBMT🔥
👑YOUNG BUT MIGHTY NATION👑
#MUBSAL
Whatsapp: 08024784382
Facebook: Mubarak Oyekola Salamalykum
IG: Official YBMT",105.0,1267.0,781.0,42.0,0.0,False,,
@umaraamfani,@SympLySimi @MBuhari You are right Sis,2020-04-01 14:39:14,en,,0.0,0.0,@SympLySimi,@Umar Ibrahim Amfani,,19.0,39.0,57.0,5.0,0.0,False,,
@nimx_el,"@SympLySimi @MBuhari You're relying on this govt???....
Madam get yourself a solar pannel or an invater",2020-04-01 14:39:09,en,,0.0,0.0,@SympLySimi,Mattpraise,"A political analyst, writer(songs and novels)..",194.0,382.0,428.0,104.0,0.0,False,,
@Egnr_nifemi,"@SympLySimi @MBuhari They asked us to stay inside, der is no light and u can't even go out to buy fuel. Awon weyrey",2020-04-01 14:39:03,en,,1.0,0.0,@SympLySimi,🐦🐦Engr.(miss)Nifemi🐦🐦,Entrepreneur 🐦🐦A Fan Girl 🐦🐦here to make friends🐦🐦Turn post Notifications on 🐦🐦,8843.0,109364.0,20107.0,31382.0,48.0,False,,
@FreakyC4,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct @BashirAhmaad Alhaji Bashir Ahmed, I wish u know d number of families that are hungry in Abuja , no business ,people cant feed  their families plus d stay at home order , no garri , no grain ,nor sereal no milk no cash. Pls inform @MBuhari , that we are hungry ! Hunger!! Hunger!!",2020-04-01 14:39:01,en,,0.0,0.0,@BashirAhmaad,Armstrong Chuks E.,Farmer,5322.0,15055.0,1150.0,475.0,0.0,False,,
@NAIJAMUSICCITY,@fenway4u @MBuhari Copy rat,2020-04-01 14:39:00,en,,0.0,0.0,@fenway4u,#DailyNewsCover,"Visit Us 4Ur Latest Update About Music, Video, News, Sports, Gossips, Politics, Education, Tech. PR 2 @Iam_BobbyT Olobade Ent +2348026241811 bbmc:C001D6B4E",104589.0,703.0,1428.0,3647.0,32.0,False,,
@Darkceaser87,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct So na only Abuja dey this kwantiri 😂😂😂😂😂,2020-04-01 14:38:57,en,,1.0,1.0,@BashirAhmaad,Darkceaser,"Crypto and gift cards plug| Guidance Counselor|
Barcelona fan|
Lover of christ|
Messi fan|
Urhobo boi|Foodie |420",34884.0,38134.0,4277.0,4368.0,2.0,False,,
@Olayemiabdazeez,@SympLySimi @MBuhari https://t.co/n6DxDRImCG,2020-04-01 14:38:55,und,,0.0,0.0,@SympLySimi,Adesewa,"Even the nicest people have their limits.
All I want is jannah.",1012.0,8363.0,2440.0,809.0,0.0,False,,
@adrenalinebarca,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct I swear Nigeria is just a mediocre country 😂😂😂,2020-04-01 14:38:54,en,,0.0,0.0,@BashirAhmaad,Megan 🇬🇭🇳🇬🌐,tweet blaster. just here to have fun/mimic arena//fc Barcelona//MESSINISTA//KING SARK // I AM ENTITLED TO MY OPINIONS F$$K YOURS,15859.0,17289.0,338.0,615.0,0.0,False,,
@Forch_une,@SympLySimi @MBuhari Why can't they give people light? ☹️ Why do we need to beg for everything? @MBuhari,2020-04-01 14:38:53,en,,5.0,1.0,@SympLySimi,Port Harcourt first son,"Fan of F.C.B 💙🔴|
P.H born and bred😁|Undergraduate| Studying Electrical engineering🔋💡|Potential Bet9ja ambassador 💵|",21885.0,146716.0,5333.0,7014.0,5.0,False,,
@Akanopeacemaker,@jaznasnbc @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Later ur pikin go fail maths come aos u go beat ham. See wetin u mah dey do urself in public🙆🙆. 1m for 200m people and change go still remain. Bros u cast no be small,2020-04-01 14:38:52,en,,0.0,0.0,@jaznasnbc,Farouk Abimbola  Abdulsalam,"Being myself and easy going guy.
A graduate of mathematics and statisticsdepartment from Futminna.
I'm a Muslim,Yoruba by tribe and a football lover.",545.0,746.0,1179.0,382.0,0.0,False,,
@kraftgottes11,@_Harperlee @stevenEmmanuel7 @akoro_mark @renoomokri @MBuhari Did shutdown happened in Jonathan’s regime? ITK,2020-04-01 14:38:52,en,,0.0,0.0,@_Harperlee,OneWithGod,"Real Estate,Cars and sport",4612.0,3407.0,445.0,160.0,0.0,False,,
@Briankollynx,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct If u had a genuine list of poorest of d poor.

U could've issued them NIN numbers. Open a bank account 4 them nd electronically transfer funds 2 them but, No.

U nd ur folks with blessings 4rm d presidency wants an unaccountable funds.

God will judge all of u.",2020-04-01 14:38:49,en,,0.0,0.0,@BashirAhmaad,#Eagle_wins,"An Engineer, An Entrepreneur and a Progressive. 

Let's make this World a better place.",4986.0,46784.0,411.0,678.0,0.0,False,,
@AdewaleTairu,"@OgunmodedeOlu10 @olusogaowoeye @NCDCgov @MBuhari I respect your views and I hope you will will respect mine, anyway thanks as well sir.",2020-04-01 14:38:49,en,,0.0,0.0,@OgunmodedeOlu10,Makanjuola,"Electrical engineer, an advocate of good governance and an inquisitive person.",4624.0,4501.0,460.0,163.0,0.0,False,,
@femiwole,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct ""most poorest"" Oga!!!
Ok.",2020-04-01 14:38:45,et,,0.0,0.0,@BashirAhmaad,Femi Wole,"Proud Son of God. Husband. Father. Nigerian. 
Finance. Politics. Tennis. 
You want me on your team.",8439.0,4291.0,1500.0,709.0,6.0,False,,
@GowonAndy,@renoomokri @MBuhari More wisdom sir 🙏,2020-04-01 14:38:45,en,,0.0,0.0,@renoomokri,Benedict andy Gowon,Andyboi,111.0,5875.0,1183.0,118.0,0.0,False,,
@Oluwase15919032,"@SympLySimi @MBuhari Simi I vote you for president in the next election... 

No time",2020-04-01 14:38:43,en,NG,0.0,0.0,@SympLySimi,Oluwaseun Babatunde,Basically here to share my views Explicitly | Passionate| Motivated | and Nigerian |,594.0,450.0,207.0,62.0,0.0,False,,
@Rockfame_Music,@authorhsh @NCDCgov @mh_barkeji @chiomadannwafor @wefmng @Chikwe_I @Fmohnigeria @DrEOEhanire @WHO @AfricaCDC @NOA_Nigeria @FMICNigeria @GarShehu @nighealthwatch @EpidAlert @BashirAhmaad @MBuhari @ib__ism @Sadiya_farouq @HAHayatu @aishambuhari @Mashkura0 @Bashir_Tijjani_ @the_hamoood @KhaleephaHayat @jaz_gorgeouss @hadizel @mansurah1 @HonLadan You want to frame it on your wall?,2020-04-01 14:38:36,en,,1.0,0.0,@authorhsh,e-GOAT🎼,Music Man🎼🎶|| Playlist and Countdown🎼 ||Old skool memories🎶||Victim of intelligence|| I provoke thought that birth/shape ideas and improve life,7092.0,4075.0,2731.0,2799.0,1.0,False,,
@charlesirii,@renoomokri @MBuhari Louder sir,2020-04-01 14:38:35,en,,0.0,0.0,@renoomokri,Charles Emeka,Simple By Nature,195.0,117.0,280.0,26.0,0.0,False,,
@Aderms_ib,@renoomokri @MBuhari It could be more better than given it to the federal government ahswear,2020-04-01 14:38:31,en,,0.0,0.0,@renoomokri,Dan Mallam👳🏼,"Geog🌍
Abusite🎓
FC Bercelona⚽
24th/Jan🎂",725.0,62.0,396.0,435.0,1.0,False,,
@oyephemi,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Fraud alert,2020-04-01 14:38:30,no,,1.0,0.0,@BashirAhmaad,phemmy,"electrical, solar ,  wiring and supplier of electrical electronic material.",7677.0,19999.0,11362.0,12466.0,2.0,False,,
@LexTiboi,"@renoomokri @MBuhari As at today no nigerian government can be trusted because they are made up of Nigerians. Sadly, it's not about Buhari or APC",2020-04-01 14:38:27,en,,0.0,0.0,@renoomokri,OluwaLoTobiLoba,"Legal Consultant, Motivator, Innovator... and the lil extra atop!",3052.0,5024.0,518.0,267.0,0.0,False,,
@iamamechini,@renoomokri @MBuhari But u can trust donations to your principal back then. As if there was no corruption. Hiss,2020-04-01 14:38:27,en,,0.0,0.0,@renoomokri,EJEM,"CEO/MD NEXT MEDIA & ENTERTAINMENT. Engineer, God's precher, consultant. Businessman",282.0,287.0,1320.0,165.0,0.0,False,,
@OgbonlaiyeI,@SympLySimi @MBuhari Like I begged you to like me post and you didnt even notice me😭,2020-04-01 14:38:25,en,,0.0,0.0,@SympLySimi,Ogbonlaiye ibrahim,Just love being maself,132.0,22.0,42.0,6.0,0.0,False,,
@Wahab_remi,"@JoshuaNnaji18 @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct So how old is American democracy?
Do you even have a voters card not to talk of you voting?
Everyone just open their mouthes to talk,we are part of the government.",2020-04-01 14:38:23,en,,0.0,0.0,@JoshuaNnaji18,General Gbamigbola Aderemi,"Agriculture and bioresourses engineer,farmer, entrepreneur.",2063.0,1084.0,412.0,207.0,11.0,False,,
@AOlufade,@GodwinKanu7 @alabedeEmma @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Well I guess that's where the problem lies,2020-04-01 14:38:16,en,,0.0,0.0,@GodwinKanu7,A A O,"Bsc Acct, ICAN, MNIM. @chelseafc fan, @burnaboy fan & a sai baba Buhari fan 😎😎",1499.0,24761.0,947.0,311.0,0.0,False,,
@AbuNadrohQowiyy,"@aboo_aamir @MBuhari جزاكم الله خيرًا على التنبيه الأخوي. 
صراحةً، كتبتُ المنشور لما غمرني من حزن بسبب مآسي جنودنا البواسل، وكثرة شكاوى الناس على رئيس أركان الجيش. 
وقد أخذتُ بنصيحتكم، وحذفتُ المنشور.",2020-04-01 14:38:10,ar,,0.0,0.0,@aboo_aamir,AbdulQowiyy Badmus,المستكفي بالله,2549.0,5642.0,740.0,167.0,0.0,False,,
@DamilareAdeliyi,They want to buy your conscience for another 4years come next general election all in the name of covid19 palliatives.. Collect their money and vote them out. @DONJAZZY @segalink @OgbeniDipo @valentinowpg @Imamofpeace @renoomokri @MBuhari @OfficialAPCNg @OfficialPDPNig @NGRSenate https://t.co/xx8CexeH3d,2020-04-01 14:38:09,en,,1.0,0.0,,💝💝 ADE💓💓,Father | Multimedia installer | Realtor,571.0,254.0,753.0,134.0,0.0,False,,
@ChigEmic,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Who are the poorest Nigerians?,2020-04-01 14:38:08,en,,1.0,0.0,@BashirAhmaad,Umetex 🎧™️,"046 BREED
Musicphile x Everything Music & FOOTBALL. 
Arsenal & Enyimba",20937.0,21883.0,997.0,982.0,2.0,False,,
@PsychoMarlian,@SympLySimi @MBuhari Kindly follow back,2020-04-01 14:38:06,en,,0.0,0.0,@PsychoMarlian,BOB_MARLEY,Medicinal leaf is a cure for all ailments....,52.0,84.0,204.0,8.0,0.0,False,,
@IconNjoku,@renoomokri @MBuhari Absolutely correct and that will go along way to mitigate the suffering of the poor mass on partial lockdown,2020-04-01 14:38:00,en,,0.0,0.0,@renoomokri,Icon Njoku,"Biotechnologist, A Researcher
 ICT expert ,
 Public affairs analyst",8.0,35.0,135.0,5.0,0.0,False,,
@Emmanue90906625,@SympLySimi @MBuhari Mama s u go born ur pikin safely ooo in Jesus name amen more love Emmanuel,2020-04-01 14:37:45,en,,0.0,0.0,@SympLySimi,Emmanuel king,"Born June 28,1996 mechanic single and searching now for real love",213.0,6.0,63.0,4.0,0.0,False,,
@candybliss95,@FatalistB @SympLySimi @MBuhari When federal government says no use of Generators?  We are law abiding citizens. Me and @SympLySimi,2020-04-01 14:37:43,en,NG,0.0,0.0,@FatalistB,April 💕,Civil Engineer👷 Spirit Filled 💕Basketball Player🏀 Benue Girl😍 I sell beautiful and durable beddings. DM open for business only dears!,16838.0,34006.0,7825.0,8313.0,2.0,False,,
@Emmanue68741725,"@SympLySimi @MBuhari Same page, many years, light is still problem that needs to be fixed...",2020-04-01 14:37:39,en,,0.0,0.0,@SympLySimi,E.M.Obazee,"Researcher, problem solving, Think outside the box, motivational speaker, leadership mind set, systematic perspective. God eye perspective...",25.0,8.0,31.0,2.0,0.0,False,,
@saaaadeen,"@AntiVir75336612 @Chrisbamidele @MBuhari I don't speak for the government or defend the government for mismanagement. I just want us to respect our country, we are the results of whatever we want",2020-04-01 14:37:39,en,,0.0,0.0,@AntiVir75336612,sadeen El-sunni,,443.0,3861.0,130.0,1473.0,0.0,False,,
@steadyrockjoy,"@renoomokri @MBuhari Yes oo

I solemnly agree to this sir",2020-04-01 14:37:35,en,,0.0,0.0,@renoomokri,Joy Gabriel(steadyrock),Am just myself. I hate intimidations and i have strict policies.,62.0,69.0,271.0,25.0,0.0,False,,
@YNA_OmOmeewa,"The Apc led Fed. Govt under @MBuhari was able to release about 200b then to redeem it electoral image and make unfulfilled promise again. During this period, those donating billions up and down now Including the MHRs are live but they donate nada to fund and revitalize Education",2020-04-01 14:37:34,en,,0.0,0.0,@YNA_OmOmeewa,YNA_OmOmeewa,a comrade / activist also a scholar in embryo,685.0,234.0,712.0,494.0,0.0,False,,
@AOlufade,"@naiightt @alabedeEmma @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct In Katsina where I reside, there are areas where you find up to 10 houses sharing one meter, that one meter would be in one person's name. How would you handle that?",2020-04-01 14:37:29,en,,0.0,0.0,@naiightt,A A O,"Bsc Acct, ICAN, MNIM. @chelseafc fan, @burnaboy fan & a sai baba Buhari fan 😎😎",1499.0,24761.0,947.0,311.0,0.0,False,,
@LumiChuBrand,"@renoomokri @MBuhari My suggestion, my ideology
Sincerely we are done for in this country",2020-04-01 14:37:29,en,,0.0,0.0,@renoomokri,Lumi Chu,"E-commerce/Mini Importation Evangel, Branding, Customizing, product surv, market search, Man Utd, Reader, Learner, Optimistic, Goal-Getter, CEO Lumi World. 🇳🇬",5901.0,1038.0,2818.0,621.0,0.0,False,,
@YSGisbae,"@SympLySimi @MBuhari You no get light for house? Omo, naso e be everywhere oooo😪",2020-04-01 14:37:26,en,,0.0,0.0,@SympLySimi,YSG🇨🇦🇳🇬🤕,"Hey there.
I follow back more often than not and if I don't just buzz me and I will💌.  Check likes for some tweets.",1035.0,1581.0,1849.0,1963.0,0.0,False,,
@AgbanyimCaleb,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct A joke of a nation... Shame!,2020-04-01 14:37:25,en,,0.0,0.0,@BashirAhmaad,caleb agbanyim,"I don't call a spade a shovel. I love Trump , Atiku and Chelsea FC",4770.0,6506.0,937.0,199.0,0.0,False,,
@mmanuel________,@Surext_01 @MBuhari @GboyegaOyetola @NTANewsNow @SaharaReporters @osbcng @AIT_Online Oh ......kfb,2020-04-01 14:37:22,tl,,0.0,0.0,@Surext_01,Mr man,the making...................,750.0,682.0,272.0,269.0,1.0,False,,
