pos,neg,neu,compound,Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
0.0,0.0,1.0,0.0,@onayemikehinde,@HQNigerianArmy @DefenceInfoNG @NGRPresident @NGRSenate @MBuhari https://t.co/tdlVFbAYii,2020-04-02 00:41:22,und,,0.0,0.0,@HQNigerianArmy,Kẹhínde Ọnayẹmi,Dad..lawyer...humanist...freethinker...hate the sin and not the sinner,14200.0,13694.0,708.0,393.0,4.0,False,,
0.0,0.107,0.893,-0.2869,@CommonersK,"@MBuhari since all schools are closed, who are you then continuing the school feeding program for?  The empty classes?",2020-04-02 00:41:01,en,,0.0,0.0,@MBuhari,Commoners kingdom,King of commoners,5.0,8.0,24.0,0.0,0.0,False,,
0.345,0.0,0.655,0.6458,@ikem_mba,@Araz17__ How do you defend a mishap like @MBuhari &amp; not look stupid?,2020-04-02 00:40:46,en,,0.0,0.0,@Araz17__,Ikem Mba,A lover of poetry and nature.,2970.0,5984.0,1694.0,984.0,0.0,False,,
0.0,0.0,1.0,0.0,@Bobbohari_jnr,@AbbaMunibah @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Bè semtata wallahy...😅,2020-04-02 00:40:45,ca,,0.0,0.0,@AbbaMunibah,Abdoulraxack jalingo...®️,to exist is to resist... never be a spectator of injustice,5855.0,12516.0,227.0,397.0,1.0,False,,
0.0,0.0,1.0,0.0,@Ugochi01,@renoomokri @MBuhari If only men was god... Chiaaa,2020-04-02 00:40:41,en,,0.0,0.0,@renoomokri,God loves you ❤️,"This my new account, please follow. Formal account was hacked and no backup 😔😩",58.0,65.0,67.0,5.0,0.0,False,,
0.0,0.0,1.0,0.0,@TamsPadi,@renoomokri @MBuhari 0042401411 GTB🙏🙏🙏,2020-04-02 00:40:37,und,,0.0,0.0,@renoomokri,Padi Tams,Born on 14th February and I Love To Love Mehn.,820.0,12675.0,1164.0,224.0,0.0,False,,
0.231,0.0,0.769,0.8126,@oladipupo01,@Karikatalk1 @TUNDEYEMIOMOYA @The_Seeker76 @segalink @instablog9ja @NatashaAkpoti @segalink @PoliceNG_CRU @PoliceNG @APCNigeria @OfficialPDPNig @MobilePunch @channelstv @Rainbow941fm @CNN @BBCWorld @NGRPresident @ProfOsinbajo @nassnigeria @UN @MBuhari @ayemojubar @Allstar023 @PremiumTimesng @SaharaReporters @realFFK @renoomokri please let's support justice,2020-04-02 00:40:35,en,,0.0,0.0,@Karikatalk1,Afelele Oladipupo,"Tutor, Entrepreneur, Logistics Expert & Consultant, Political Analyst and a Community Service Provider / Philanthropists.",9342.0,22122.0,1200.0,578.0,0.0,False,,
0.412,0.0,0.588,0.4215,@Brimo68491556,@nazokezie @MBuhari @YulEdochie true talk,2020-04-02 00:39:34,en,,0.0,0.0,@nazokezie,Brimo,coz am a sierraleonea,5.0,6.0,49.0,0.0,0.0,False,,
0.512,0.0,0.488,0.6369,@Vincent82241769,@SympLySimi @MBuhari Love your point,2020-04-02 00:39:24,en,GH,0.0,0.0,@SympLySimi,Vincent Tetteh,Music,145.0,183.0,263.0,27.0,0.0,False,,
0.048,0.091,0.861,-0.5028,@UNYEZ50,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Who are the most poorest Nigerians or you means the Nigerians and Chafians you brought in for the 2015 and 2019 Elections??

Where is their database and account numbers, which bank paid them?? All these questions will be you like film someday.",2020-04-02 00:39:02,en,,0.0,0.0,@BashirAhmaad,Unyeowaji Patterson,Public Affairs/Political Analyst,825.0,250.0,163.0,31.0,0.0,False,,
0.197,0.0,0.803,0.4019,@mohyeepapa,"@amarachievarist @renoomokri @MBuhari Yes it can ooo
Abolarin olajide
3020185528
1st bank",2020-04-02 00:38:46,in,,0.0,0.0,@amarachievarist,Mohyour,I'm easy going and friendly,1638.0,254.0,672.0,194.0,1.0,False,,
0.133,0.193,0.674,-0.5996,@BubendorfManny,"@MBuhari  ur such a fool, you can't even address the nation people you have love for.I pray you get the virus you can't even encourage the citizens in this people of hardship. In some countries they share items and money to less pp who can fend for there selves amadioha kill you.",2020-04-02 00:38:34,en,,0.0,0.0,@BubendorfManny,Manny_bubendorf,,3.0,0.0,7.0,1.0,0.0,False,,
0.103,0.069,0.828,0.1779,@ola_ekinne,"@toluogunlesi, SA Digital Media to @MBuhari has disclosed that the President has approved the release of 70,000MT of grain from the Strategic Grain Reserves.
According to him, the grains are to be shared among front line #Covid19 States, for distribution to the poorest &amp; most...",2020-04-02 00:37:19,en,,0.0,0.0,@toluogunlesi,Ekinne,Geoscientist || Lover of Academics ||Admirer of good #Governance & #Leadership || #OGSGNewMedia,26398.0,15242.0,2550.0,1270.0,14.0,False,,
0.083,0.208,0.709,-0.6341,@realpetersnow,"@MBuhari Your regime has turned millions of Nigerians youth into beggars ..
God will judge you all 😡😡😡😡😡
Evil leaders!!!",2020-04-02 00:37:18,en,,0.0,0.0,@MBuhari,Peter snow,Acts like summer & walks like rain,219.0,102.0,484.0,17.0,0.0,False,,
0.0,0.167,0.833,-0.0516,@yeewonder,@9th_SonofNov @Sadiya_farouq @BashirAhmaad @MBuhari I swear it's annoying😠😡,2020-04-02 00:37:12,en,,0.0,0.0,@9th_SonofNov,Yee-wonder™☯☪☯,AFRO Musical Artist....for Booking and Enquiries contact on +2348164288132  IG@yeewonder,3541.0,27880.0,3814.0,3082.0,0.0,False,,
0.083,0.208,0.709,-0.6341,@realpetersnow,"@MBuhari Your regime has turned millions of Nigerians youth into beggars ..
God will judge you all 😡😡😡😡😡
Evil leaders!!!",2020-04-02 00:37:06,en,,0.0,0.0,@MBuhari,Peter snow,Acts like summer & walks like rain,219.0,102.0,484.0,17.0,0.0,False,,
0.0,0.128,0.872,-0.2263,@CommonersK,@MBuhari how do you know the vulnerable when you do not have their data?,2020-04-02 00:37:06,en,,0.0,0.0,@MBuhari,Commoners kingdom,King of commoners,5.0,8.0,24.0,0.0,0.0,False,,
0.083,0.208,0.709,-0.6341,@realpetersnow,"@MBuhari Your regime has turned millions of Nigerians youth into beggars ..
God will judge you all 😡😡😡😡😡
Evil leaders!!!",2020-04-02 00:36:54,en,,0.0,0.0,@MBuhari,Peter snow,Acts like summer & walks like rain,219.0,102.0,484.0,17.0,0.0,False,,
0.115,0.25,0.635,-0.6976,@FatherGabriel_J,@ProfOsinbajo @MBuhari In a bid to fighting this pandemic Covid_19 let's not create more problems by neglecting healthcare personnels. This isn't the best time to play games. FG should look into this ASAP. https://t.co/MnLCBrYPT2,2020-04-02 00:36:50,en,,0.0,0.0,@ProfOsinbajo,Father Gabriel,,28.0,3.0,67.0,6.0,0.0,False,,
0.083,0.208,0.709,-0.6341,@realpetersnow,"@MBuhari Your regime has turned millions of Nigerians youth into beggars ..
God will judge you all 😡😡😡😡😡
Evil leaders!!!",2020-04-02 00:36:34,en,,0.0,0.0,@MBuhari,Peter snow,Acts like summer & walks like rain,219.0,102.0,484.0,17.0,0.0,False,,
0.062,0.134,0.804,-0.4854,@ovosville,@renoomokri @NGRPresident @GarShehu @GEJonathan @MBuhari Nigerians are just hilarious 😀😀😀 steady cracking me up. How dumb can y'all be?  He's telling one person why they aren't getting help from him next tweet is someone else with same request..smh!,2020-04-02 00:36:22,en,,0.0,0.0,@renoomokri,Mr Goldfinger.,,1010.0,1305.0,99.0,47.0,0.0,False,,
0.0,0.0,1.0,0.0,@AbbaMunibah,@Bobbohari_jnr @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Ko yali ma ???🤦‍♀️🤦‍♀️,2020-04-02 00:36:16,in,,0.0,0.0,@Bobbohari_jnr,Munibah Abba🌹,Philophobic❗Realist ‼,3297.0,2747.0,331.0,736.0,0.0,False,,
0.412,0.0,0.588,0.8126,@Awc2020,"@MBuhari Good Day sir, please kindly keep this Certificate aside ooo, #Nigerian are hungry ooo.",2020-04-02 00:36:11,en,,0.0,0.0,@MBuhari,ALUBAR'KAWORLD CONCEPTS,,52.0,20.0,350.0,20.0,0.0,False,,
0.098,0.22,0.682,-0.4939,@FreedomOmon,"@Effavirenz @MBuhari robs in broad day light. He's Fulani, they protect their own. Southerners have too much sense that is useless",2020-04-02 00:35:56,en,,0.0,0.0,@Effavirenz,Freedom Omokhua,Sensitive,9141.0,5861.0,165.0,119.0,0.0,False,,
0.0,0.196,0.804,-0.296,@CommonersK,@MBuhari why are there no testing centres in the north?,2020-04-02 00:35:52,en,,0.0,0.0,@MBuhari,Commoners kingdom,King of commoners,5.0,8.0,24.0,0.0,0.0,False,,
0.173,0.0,0.827,0.3182,@ikem86,@olusogaowoeye @IAmNotASaintNo1 @Kindred_AYO @Kayodeoshinubi @MBuhari @usgovt Now u see the truth u went on 🔕,2020-04-02 00:35:33,en,,0.0,0.0,@olusogaowoeye,ikem alex**🇳🇬,Ikem is a kul n God fearing guy,646.0,1218.0,827.0,62.0,0.0,False,,
0.033,0.181,0.786,-0.7081,@bosun1264,@umar_ayotunde @dmightyangel Meanwhile their people are all over this street attacking other state Governors and @MBuhari over this same matter. Dem go get sense by fire by force. Mbok!!,2020-04-02 00:34:36,en,,0.0,0.0,@umar_ayotunde,bosun oladele,Born on 16th December .... An avid believer in possibilities. Legal Practitioner and Politician,3164.0,7633.0,490.0,314.0,0.0,False,,
0.0,0.3,0.7,-0.4588,@ElihezarD,@the_ebinizeri @SympLySimi @MBuhari This is Savage 😂😂 😂😂😂 😂,2020-04-02 00:33:50,en,,0.0,0.0,@the_ebinizeri,Elihezar Daniels,a pragmatic optimist,28.0,91.0,104.0,9.0,0.0,False,,
0.155,0.164,0.681,-0.0772,@john07jay,@MBuhari just showed up like a thief in the night and disappeared like thunderbolt to his hibernating state. How can CinC abdicate the frontline for foot soldiers?,2020-04-02 00:33:11,en,,0.0,0.0,@MBuhari,John Shuaibu,"Pastor, counsellor, social critic and committed to good governance",2469.0,2657.0,638.0,647.0,0.0,False,,
0.157,0.0,0.843,0.0772,@Mahmud_tunechi,@SympLySimi @MBuhari U too that have money want light,2020-04-02 00:32:54,en,,0.0,0.0,@SympLySimi,mahmud tunechi,,18.0,108.0,23.0,29.0,0.0,False,,
0.0,0.25,0.75,-0.8757,@FreedomOmon,Nigeria has never been this bad. Imagine exceptional Generals begging for arms to fight insurgents. @MBuhari is an all round failure. @bbcnewspidgin @cnnbrk @MSNBC @CBNNews @ABC @CBSNews @camanpour @arwaCNN @FareedZakaria @TheTrentOnline @realFFK https://t.co/yMqBNT7Xxo,2020-04-02 00:32:48,en,,0.0,0.0,,Freedom Omokhua,Sensitive,9141.0,5861.0,165.0,119.0,0.0,False,,
0.0,0.282,0.718,-0.7712,@FortuneUgo1,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct The poor in this country can be located only in the north failed government!,2020-04-02 00:32:41,en,,0.0,0.0,@BashirAhmaad,Uche Ewuru,,1168.0,812.0,441.0,43.0,0.0,False,,
0.186,0.0,0.814,0.743,@Orunmilla,This despicable and inhumane treatment of Nigerians is happening under the very nose of the @NGRPresident and @NigeriaGov yet some people under the impression that @MBuhari cares about the welfare of Nigerians? Ha #OneChanceGovernment https://t.co/Z6FojUgPq2,2020-04-02 00:32:32,en,,0.0,0.0,,Mamba Forever,"Ọmọ Yorùbá ✊🏿 💊 🇳🇬 ➡️ 🌍 In this 2020, you will not argue with stupid people, ION. #MambaForever #LiveAndLetLive",32540.0,43444.0,741.0,519.0,17.0,False,,
0.071,0.0,0.929,0.3527,@Jaibbikay,"@FMHDSD @Sadiya_farouq @MBuhari Will there be an evaluation post #Covid19 
Those who are already receiving foodstuff, will they be eligible for the CCTs as well? 
Are there particular conditions tied to the transfers?",2020-04-02 00:31:54,en,,0.0,0.0,@Jaibbikay,Jibike Oluwadamilola,"The beauty of Originality is in the originality of its beauty.

Media Personality",16126.0,1035.0,308.0,7626.0,18.0,False,,
0.0,0.0,1.0,0.0,@Cafen_Cafen,"@renoomokri @MBuhari 0150202377 
GTBank",2020-04-02 00:31:34,in,,0.0,0.0,@renoomokri,Cafen,An Electrical and AC Engineer in the making. Want to make a difference in the life of people around me. Mind you i Unfollow  unfollowers everyday.,688.0,9667.0,1700.0,1723.0,0.0,False,,
0.0,0.0,1.0,0.0,@alayaabdul1,"@MBuhari @jidesanwoolu @NCDCgov Nigeria faces several hindrances in achieving its economic and developmental goals. The common been policy inconsistency and discontinuity. I don't buy these markets opening every 48 hours, the govt should have at least let the lockdown run 2 weeks",2020-04-02 00:31:18,en,,0.0,0.0,@MBuhari,abdul-abdul,For the love of Nigeria,7561.0,1372.0,132.0,339.0,2.0,False,,
0.0,0.231,0.769,-0.34,@RealSeunKuti,@town_crierng @NGRPresident @MBuhari @GarShehu Shameless RULERS na im dem b,2020-04-02 00:31:04,de,,0.0,0.0,@town_crierng,Seun Anikulapo Kuti,"GRAMMY NOMINEE  
Night Dreamer is OUT NOW. Listen to it here: https://t.co/GRzne9CPSV",189608.0,8518.0,4147.0,101816.0,334.0,False,,
0.598,0.0,0.402,0.8555,@ObroHaruna,@renoomokri @MBuhari God bless you sir you have wisdom from God,2020-04-02 00:30:46,en,,0.0,0.0,@renoomokri,Obro Haruna Kingsley,I just love to serve God,26.0,74.0,20.0,1.0,0.0,False,,
0.0,0.0,1.0,0.0,@VictorAnaedozie,@renoomokri @MBuhari Do people really receive?,2020-04-02 00:30:16,en,,0.0,0.0,@renoomokri,Victor Nnakuzue II Anaedozie,Strangers think am quiet. My friends think am outgoing. My best friends know that I'm completely insane. #Media. #Politics. #Investment. #Scorpio. #Africa,9920.0,5069.0,752.0,266.0,30.0,False,,
0.118,0.087,0.795,0.296,@bashirSTO,"@MBuhari @FMHDSD Please Direct this woman to pay us about two months now she neglected the Independent Monitors their Stipends,we have being posting through vast mediums but as if we are not Nigerians. Please Sir.",2020-04-02 00:29:18,en,,0.0,0.0,@MBuhari,Destined bash,"Research,reading and creativity.",150.0,803.0,181.0,32.0,0.0,False,,
0.163,0.0,0.837,0.4019,@XixtinTheGreat,@SaharaReporters @NigeriaGov @MBuhari So much for cashless economy. 😂😂😂😂😂. These clowns just want to be photographed giving out a couple thousand naira,2020-04-02 00:29:16,en,,0.0,0.0,@SaharaReporters,Kelechi,,260.0,350.0,97.0,12.0,0.0,False,,
0.244,0.0,0.756,0.5962,@idealnutricare,"@renoomokri @MBuhari 0724961243
Adekammbi Tobiloba
AccessBank
Grateful, wether I get to receive or not!!!",2020-04-02 00:28:17,en,,0.0,0.0,@renoomokri,Idealnutricare,Evidence-based Nutrition advisory. 🥬🥒🍇 Your EASY and SAFE guide to an healthier Family 👨‍👩‍👧‍👦,113.0,183.0,64.0,26.0,0.0,False,,
0.0,0.294,0.706,-0.3612,@NKuyap,@BashirAhmaad @MBuhari @FMHDSD U guys are just clueless.,2020-04-02 00:28:16,en,,0.0,0.0,@BashirAhmaad,Nankhiling Kuyap.,Trusting my self.,316.0,502.0,762.0,147.0,0.0,False,,
0.302,0.0,0.698,0.7479,@Debbinista,"Sir,I would love to reach out to you on a very pressing and urgent matter.Thank you @GeoffreyOnyeama @ProfOsinbajo @MBuhari @APCNigeria @ChibuikeAmaechi",2020-04-02 00:27:49,en,,0.0,0.0,,Debbie Akpenyi,"Daily as I live,Lord,May my whole life be expression of Your Grace.Lover and Worshipper of Our Lord Jesus.Beautiful inside out 🙌🏽",8558.0,6177.0,856.0,328.0,3.0,False,,
0.379,0.05,0.571,0.8481,@kanustanley,"@renoomokri @MBuhari Sir, this lockdown is biting hard on my family. Kindly come to our aid. Thank you and God bless.",2020-04-02 00:27:36,en,,0.0,0.0,@renoomokri,Stanley Kanu,,155.0,155.0,58.0,84.0,0.0,False,,
0.0,0.191,0.809,-0.8543,@olufunkeajibul1,"@realFFK Uncle Wole was one of those who brought us here. But I am not surprised @OfficialAPCNg @MBuhari use, dump and shame (UDS) is their game - as per Tinubu/Afenifere treatment. 2023 is around the corner more professors are waiting to take their turn and they will be disgraced again.",2020-04-02 00:27:27,en,,1.0,0.0,@realFFK,Liberty4Real,On God's terms only | Align only with Justice and Fairness|Distruptive Thinking| Insurer| Arsenal Fan.,3896.0,2194.0,313.0,200.0,1.0,False,,
0.0,0.0,1.0,0.0,@kayceybreeze,@renoomokri @MBuhari Placing relevance in irrelevant = incoherence,2020-04-02 00:27:03,en,,0.0,0.0,@renoomokri,Kelechi Ude,"If you think you can figure me out so easily may be you will be wrong. I'm easy to follow but difficult to understand, also complicated in reasoning.",201.0,55.0,244.0,108.0,0.0,False,,
0.253,0.141,0.606,0.296,@sundayani622,@MBuhari @MBuhari i am in pains and i need help from you the govermment of Nigeria please,2020-04-02 00:26:50,en,,0.0,0.0,@MBuhari,sunday,I am very honest person and respectful in life easy going know stop$$$$@#!$%%%^*,22.0,33.0,346.0,7.0,0.0,False,,
0.216,0.0,0.784,0.296,@iamaskala,@NGRPresident @GarShehu @MBuhari April fool's joke of the day,2020-04-02 00:26:21,en,,0.0,0.0,@NGRPresident,iamaskala_g,"Sports lawyer, Property and Corporate consultant, Dispute resolution specialist, Chartered mediator and Concilliator. Ibo boi, Manchester United faithful.",40.0,45.0,59.0,16.0,0.0,False,,
0.097,0.105,0.798,-0.5362,@EnyoyiEse,"Pls give us light for crying out loud @MBuhari @jidesanwoolu @followlasg you want us to stay at home yet we don't have light in ikorodu for 3 days now, who did we offend?? Pls government I work from home, I need light. fridges is stocked, we need light to preserve things pls.",2020-04-02 00:26:20,en,,1.0,1.0,,ENYOYI ESEOGHENE,"An actor, model, content creator and Admin Manager. I rep Dec 6th. A career diplomat in the making. Follow on instagram @enyoyiese and Facebook",4714.0,1031.0,623.0,717.0,6.0,False,,
0.494,0.0,0.506,0.5994,@AjammaS,@renoomokri @MBuhari Remain blessed sir.,2020-04-02 00:26:15,en,,0.0,0.0,@renoomokri,Mr. Integrity 🇳🇬,"I am what GOD made me to be. Die hard supporter of @realFFK, hard PDP Member. i like Honesty, truth, and always in-love with those who speaks for the voiceless.",25593.0,20984.0,315.0,888.0,0.0,False,,
0.0,0.299,0.701,-0.6908,@lamlexxi,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Na Ogun go kill all of una🖐️,2020-04-02 00:25:33,en,,0.0,0.0,@BashirAhmaad,CONSTANCE ™,"N.W.A.
#God'schosen
#Familyman
#streetmade
#Artlover
#manutdfan
follow me I follow back",1109.0,1484.0,567.0,384.0,0.0,False,,
0.135,0.0,0.865,0.3612,@eminent_mitch,@iamEminspire @MBuhari I fit place my life for betting that he's the one writing all these correct English,2020-04-02 00:25:00,en,,1.0,0.0,@iamEminspire,My mommy's son 💙❤️,"Multi-talented human being... 
Character,
Entertainer,
Lyrical kooky.

Funny in nature

Augh..You've gone this far ? 🤨 Anyways Welcome, follow me to greatness.",462.0,3453.0,580.0,140.0,0.0,False,,
0.198,0.0,0.802,0.5719,@erons007,@makindejay @HisKnowledgeabl @fkeyamo @MTNNG @AirtelNigeria @9mobileng @GloWorld @MBuhari Aye kuku se won ni awon audio money,2020-04-02 00:24:46,in,,0.0,0.0,@makindejay,official_ht4tography,"Am from the marble city,

photography my identity......",203.0,238.0,58.0,19.0,0.0,False,,
0.26,0.055,0.685,0.7184,@uchebaron,"@NGRPresident @MBuhari Like the one you people shared in Festac town among party members,items meant for those affected by the Lockdown..shame on you Apc",2020-04-02 00:23:44,en,,0.0,1.0,@NGRPresident,Uchenna nwosu,,179.0,14234.0,265.0,720.0,0.0,False,,
0.088,0.0,0.912,0.3832,@Qo_Olamilekan,"@Djustman007 @HUPcct @FMHDSD @Sadiya_farouq @NigeriaGov @MBuhari Most targeted recipients are not likely to have bank accounts. They include old people, the less privileged, people in rural communities, etc.",2020-04-02 00:23:37,en,,0.0,0.0,@Djustman007,Qomardeen Olamilekan,,255.0,239.0,110.0,18.0,0.0,False,,
0.0,0.0,1.0,0.0,@Themaabs,"https://t.co/JORROLCtel
Stay at home awareness video by patriotic citizens all across Nigeria
#stayathomeNigerians #COVIDー19
@MBuhari @NGRPresident @ProfOsinbajo
@GarShehu @BashirAhmaad @Bahaushee
@gimbakakanda @NCDCgov @CDDEP @COVID19Tracking @WHO @eHealth_africa @coronanigeria",2020-04-02 00:23:35,en,,2.0,1.0,,The MAABs,"Machiavellian Adroit and Artistic Brains 
https://t.co/7G3bveYtJa

•Web developers
•Event consultants, planners and promoters
•Advertisement
•Music promoters
•C",5.0,892.0,172.0,161.0,0.0,False,,
0.063,0.079,0.857,-0.4397,@STARSFLYZ,@renoomokri @MBuhari If you think that you are not poor and you are saying under this tweet that you are not poor except that you are caught up with the lockdown but you still crawled in to participate in the giveaway then you have signed your memorandum of understanding with poverty.,2020-04-02 00:23:31,en,,0.0,0.0,@renoomokri,STAR💫🌏🪐,"CHRIST THE ABOVE EVERY OTHER NAMES, IN THE WORLD,BEYOND AND ABOVE",3303.0,1364.0,753.0,89.0,0.0,False,,
0.0,0.398,0.602,-0.6808,@FortuneUgo1,@renoomokri @MBuhari I no get now no be say I no go get Abegi ni,2020-04-02 00:23:26,en,,0.0,0.0,@renoomokri,Uche Ewuru,,1168.0,812.0,441.0,43.0,0.0,False,,
0.0,0.0,1.0,0.0,@AfuyeBeverley,@SympLySimi @MBuhari So not right,2020-04-02 00:23:12,en,,0.0,0.0,@SympLySimi,Beverley Afuye,,15.0,31.0,15.0,1.0,0.0,False,,
0.095,0.082,0.823,0.0697,@PETEROkpo3,@renoomokri @NGRPresident @GarShehu @GEJonathan @MBuhari More pay back for all GEJ persecutors . More more more. Non will escape retribution,2020-04-02 00:22:54,en,,0.0,0.0,@renoomokri,PETER Okpo,Simplicity,364.0,373.0,146.0,19.0,0.0,False,,
0.237,0.033,0.73,0.8943,@Jaibbikay,@FMHDSD @Sadiya_farouq @MBuhari This gesture is well appreciated. Might I kindly ask how this will be implemented in Lagos? Is there like a comprehensive database for the vulnerable individuals? What about those who are not lettered and may not have their data on the general database. Will they be identified?,2020-04-02 00:22:38,en,,0.0,0.0,@FMHDSD,Jibike Oluwadamilola,"The beauty of Originality is in the originality of its beauty.

Media Personality",16126.0,1035.0,308.0,7626.0,18.0,False,,
0.0,0.0,1.0,0.0,@eminent_mitch,@MBuhari Which you'll never do to us🙄😒,2020-04-02 00:22:28,en,,1.0,0.0,@MBuhari,My mommy's son 💙❤️,"Multi-talented human being... 
Character,
Entertainer,
Lyrical kooky.

Funny in nature

Augh..You've gone this far ? 🤨 Anyways Welcome, follow me to greatness.",462.0,3453.0,580.0,140.0,0.0,False,,
0.032,0.138,0.83,-0.6953,@estnic7,"@MBuhari  how much more evil plan do you have for us ,? Let us know so we start getting ready we are not ok with evil suprise . We are obeying your stay at home order but do you ever consider what it feels to stay at home without food. ?",2020-04-02 00:22:18,en,NG,0.0,0.0,@MBuhari,ASADIMAJOR,COOL HEARTED BUT SOMEHOW UNCOOL,64.0,8.0,141.0,26.0,0.0,False,,
0.0,0.0,1.0,0.0,@yeewonder,@Odin33050699 @NathanielAgada1 @Sadiya_farouq @MBuhari So they can go to bank and registered for BVN is that what you are telling me?,2020-04-02 00:21:40,en,,1.0,0.0,@Odin33050699,Yee-wonder™☯☪☯,AFRO Musical Artist....for Booking and Enquiries contact on +2348164288132  IG@yeewonder,3541.0,27880.0,3814.0,3082.0,0.0,False,,
0.0,0.0,1.0,0.0,@BGesah,@renoomokri @MBuhari 0028884885. Stanbic IBTC,2020-04-02 00:21:37,in,,0.0,0.0,@renoomokri,Ben Gesah,Communication & Media Expert/Security & Cyber Crime Expert/Sex Therapist/Philanthropist/Politician. #striving for excellence,118.0,352.0,145.0,45.0,0.0,False,,
