tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_favorite_count,tweet_coordinates,tweet_lang,tweet_place,tweet_retweet_count,tweet_retweeted,tweet_truncated,name,screen_name,location,user_id,statuses_count,followers_count,friends_count,favourites_count,description
Wed Apr 08 23:47:46 +0000 2020,1248034835618291713,"[Ionic, TypeScript, GraphQL, NodeJS, MongoDB] Web, iOS &amp; Android Development. Finish DB Seed - ETA 4 Days until Due… https://t.co/qXmkQnLFro","<a href=""https://streamlabs.com"" rel=""nofollow"">Streamlabs Twitter</a>",0,,en,,0,False,True,Roman Mondello,MondelloRoman,,1180653460309590017,17,3,43,7,I'm a 26 year old Engineer with Asperger's. #Engineering #IT
Wed Apr 08 23:47:47 +0000 2020,1248034836650110980,"PwC just made the Digital Fitness app available to everyone to share with family, friends and the broader community… https://t.co/9wkav6bY4k","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,True,Rajiv Narula,narula101,"Brookhaven, GA",32543943,7,14,52,2,
Wed Apr 08 23:47:50 +0000 2020,1248034849023234049,Feliz é o Android que pode tweetar e assistir a Live ao mesmo tempo haha,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,pt,,0,False,False,Hianca,Hiancafelix,"Rio de Janeiro, Brasil",1146602703138807808,1707,33,104,2388,23 anos 🎂/Geminiana ♊ / UERJ 🎓/ Carioca 🌊
Wed Apr 08 23:47:54 +0000 2020,1248034865880195073,i've missed android studio turning my computer into a rocketship,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,,en,,0,False,False,ariel 💥,arielsonline,lost in space,1380968208,483,73,219,2750,uw software eng. life and tech and whatever. she/her
Wed Apr 08 23:47:55 +0000 2020,1248034872595111936,モイ！Androidからキャス配信中 - / コラボ募集してます https://t.co/8Zfe505q0d,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,ちあき💕,w7PshH7TkKZ717v,カズ愛してる❤2年7ヶ月記念日8月31日,1200934073549516800,1524,53,76,368,"趣味、カラオケ
三代目 J Soul Brothers登坂広臣
たまにツイキャス配信
無言フォローすいません。
好きな歌手
3代目、EXILE、L'Arc~en~Ciel、ナオトインティライミ、いきものがかり、家入レオ"
Wed Apr 08 23:48:03 +0000 2020,1248034906875150336,モイ！Androidからキャス配信中 - / メイク中 https://t.co/kdZBksZXwO,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,童唄🌸🌃,warabe_723,,1203856413270765574,2988,117,77,2187,"キャスと雑多垢。声で遊ぶことが好きな人。
最推し→かるくん🌸🌃(@kalkalsensei412)
そのほかの推しさんや声真似レパートリーはツイプロに。
アイコンは若草(@xwakakusax)とお揃い"
Wed Apr 08 23:48:03 +0000 2020,1248034907068280833,@BitLifeApp Is this coming on Android?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,iamjaydensmall,iamjaydensmall,,1234502546519183362,33,2,39,165,"HEY GUYS! My name is Jayden, I love music Specifically @NICKIMINAJ so if u can relate give a me follow"
Wed Apr 08 23:48:04 +0000 2020,1248034909022752770,@fullsunkyu Come ti riconosco poi io non vedo nemmeno il tuo display name perchè ho android💔,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,it,,0,False,False,leo *exo day,moonbaekie,변백현 ; 전정국 ; 방찬 ; 鹿晗,888864496487419906,43081,1494,1763,37235,SELF PORTRAIT Let's Love MV STREAM IT BREATHE IT Thanks.
Wed Apr 08 23:48:04 +0000 2020,1248034909861474305,@Firanda_Andirja Android ga bisa,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,in,,0,False,False,Gembel RI,kolonial_lokal,Indonesia,1062204767881981952,442,48,447,3834,Zaman Edan
Wed Apr 08 23:48:05 +0000 2020,1248034914584256512,モイ！Androidからキャス配信中 - / #仲良くしよな 呼んで欲しい…？ https://t.co/o4Mt9cTShl,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,ライト,cqJJeI28mKPmqR9,,1058370819426926592,41,11,30,15,"( 'ω')ふぁっ
まぁ仲良くしてな！
中３男子やで！！
ツイキャスとミラティブ配信者
常日頃だるい
まぁみんなで力あわせよう！
質問箱→https://peing.net/ja/me/home
ラブレター→https://love-letter.club/to/"
Wed Apr 08 23:48:07 +0000 2020,1248034920888500230,"@stwinehouse UAHSUHASUAHSUHASHAUSH, era melhor pegar um android mesmo","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,,pt,,0,False,False,Christopher o humano (Linux Based),xuxilves,Matrix,770018051182002179,5138,179,1335,27614,"🇧🇷/Entendo ENG,PT e PTBR/♂ hetero/Linux User 🐧/Muito LOKO 🎸/Retro Gamer👾/Normalmente estressado⛈/Hacker não profissional/Fix Computers/Tatic/Nerd"
Wed Apr 08 23:48:07 +0000 2020,1248034921505046530,@gimmedathigh5 it’s serious this bitch y’all so much shit but gotta android!!!!!! the audacity!!!!!!!! #sydnation WILL FALL!!!!!!!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,erica🥂,RlCANASTY,insta: @ericabuchinsky,1058447039879696386,7980,255,354,33691,if she good with balls she gon drain me like a freethrow
Wed Apr 08 23:48:10 +0000 2020,1248034935153102853,@rkrn_mikazuki @0m6a1m6e_dayo たまにあるよねー（Androidだけなのか）,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,璃依緒,krk_haru,,1100354029,14150,94,279,34039,璃依緒（リーオ）と言います。テイルズ、A3などが大好きです。
Wed Apr 08 23:48:11 +0000 2020,1248034939800518663,Play WorldCraft with Online Multiplayer for FREE NOW! Available only for your Android phone / tablet here: https://t.co/gP0ITU1cAm,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,,en,,0,False,False,MakensieMcloud,MakensieMcloud,"Wisconsin, USA",839098658176045056,2,11,89,12,"Supernatural!:)
Basketball
MMS"
Wed Apr 08 23:48:12 +0000 2020,1248034943776649217,"@IPhone_lD Lu iPhone tapi  twitter for android
Lu pake HP nokia layar sentuh?","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,in,,0,False,False,may.,yeji_1609,,1221425447499517954,385,633,878,196,"ੈ. UNREAL ／ OO ✩‧₊˚ JYP's Hidden Weapon who likes chocolate and snacks a lot. Also a captain from group called #⃠ITZY. Yes, she's Hwang Yeji.

#BTS #army"
Wed Apr 08 23:48:13 +0000 2020,1248034948595974144,"Para los que no tienen Netflix  y gustan del cine y series aqui una app Gratis, para ver sin la necesidad de tarjet… https://t.co/nrUXIDj12o","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,es,,0,False,True,DAVID LOPEZ MUÑOZ #YO APRUEBO,DAVLOMU,CHILE,279140424,11242,1385,2662,6721,Constructor\Adm. Condominios y Edificios/Paisajista/ Papa de Ale y Cata
Wed Apr 08 23:48:19 +0000 2020,1248034972331462657,@deky_luis28 @397Sulhi @detikcom Zaman sby android msih mhal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,in,,0,False,False,Yanto,Yanto18764203,,1144798396584087552,248,0,65,101,
Wed Apr 08 23:48:22 +0000 2020,1248034984377479169,Android対応前のシーズンイベとかは参加出来てなかった人多いだろうしありがたいと思うんだ………もう少し運営さんの意図や他の人のこと想像してみよ…？,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,美羽@国立当選(素振り),amnoslove0038,大宮の後ろにある壁の影,773084282180935681,18864,116,166,32865,"「俺はリーダーが大好き」18↑ 二次元と三次元(arsさん)を行き来する腐った多方面オタク/大宮担(all担前提)/実況、rkrn、文スト、進撃、Fate等の沼にも生息(腐あり)/純粋さんはリムブロ推奨/同担拒否、夢、アンリーは回れ右。
ヘッダー隊長に作って貰えましたﾔｯﾀ-！！！！！"
Wed Apr 08 23:48:22 +0000 2020,1248034985291862016,"「ゆっくり」を、ゆっくり育てる、ゆっくり育成ゲームで、ゆっくり遊んでみませんか？
Android https://t.co/djny2B3JSv
iPhone https://t.co/7uupNJoIRc
#ゆっくり育てていってね https://t.co/qDCifs9vWg","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,ja,,0,False,False,九蔵 ♀,fj8x9hahikyu,千葉県,3300336432,6371,25,96,1924,少年漫画腐女子 後天性てんかん持ち 正職員の高齢者介護職 無言フォローでスミマセン(汗       一児の母になりました☺️
Wed Apr 08 23:48:24 +0000 2020,1248034991520600065,"hello ""twitter for android"" i have joined you :3","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,britt,mimigays,,1110994990862352386,19025,782,322,110084,hyojung: please never keep smiling
Wed Apr 08 23:48:25 +0000 2020,1248034996561924096,モイ！Androidからキャス配信中 どうも有名人です https://t.co/UFQ7UJ7v2X,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,dtsp,dtsppp,,982407855595601920,18169,2130,518,185894,"キャス配信雑談/外配信/凸待ちetc…
キャスアカ：http://twitcasting.tv/dtsppp
ネタ、相談はツイッターDMで募集中！
サブアカ
Twitter：@yossy53015698
キャス：https://twitcasting.tv/c:dtsppp/broadcaster"
Wed Apr 08 23:48:26 +0000 2020,1248035003881197570,"O meu celular acabou de atualizar pro android 10 (ATÉ QUE ENFIM)
Adeus app de gravar tela.
E pode entrar novamente tela dividida ❤","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,pt,,0,False,False,sad #GirlGang,FerreiraMe_,"Rio de Janeiro, Brasil",371349952,38882,1201,1620,36079,"Ela é cheia de paranóias. Nem Freud resolveria as paranóias dela.

****27/02/2019 conheci a @ciara ❤****
#BeautyMarks #Melanin"
Wed Apr 08 23:48:29 +0000 2020,1248035014060568576,モイ！Androidからキャス配信中 雑談 https://t.co/ZVh8I3I6Ee,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,メア※YU※ッフィー(連休最終日),yuk4r1_iidx,多分鹿児島かも,1182328513510039552,15574,205,221,14776,"iidx
永世中伝(iidx27〜)
DP七段(iidx27〜)
或帝滅斗(INF回)
LR2
★1、sl3
QMS
★3
アイコン(@tokine11th)
弟子1(@penguin_azlea)
弟子2(@ruk1kirishima)"
Wed Apr 08 23:48:30 +0000 2020,1248035017286127618,👇💥👇💥👇💥👇💥👇💥👇,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,,und,,0,False,False,bean,bean9986,United States,805305054,224786,4471,4986,352047,#MAGA. 💪🏻💪🏻 🇺🇸🇺🇸 💪🏻💪🏻
Wed Apr 08 23:48:30 +0000 2020,1248035017651032065,@CrypticNo greatest android user to grace the platform 🤝,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,joey a,youngboulljoey,NJ,739246549973225472,306,42,84,2554,18  🦉⚗️
Wed Apr 08 23:48:30 +0000 2020,1248035018443800583,3 ways to message a number on WhatsApp without adding them as a contact first – Android Police https://t.co/F0HE0jX998,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,,en,,0,False,False,Beta Droid India,BetaDroidIndia,Word wide,941377228759220224,60023,91,0,8,"BetaDroid a great platform to read new updated and letest news about Mobile, Gageds, Car, and Much more. You Can Contact at Contact@betadroid.in"
Wed Apr 08 23:48:30 +0000 2020,1248035018410098688,Lindungi diri Anda dan yang tercinta dari penyebaran COVID-19 dengan mengunduh PeduliLindungi di… https://t.co/bAImCS1LCs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,in,,0,False,True,Mahfud Effendi,mahfud2015,Semarang,3116412823,618,78,582,20,
Wed Apr 08 23:48:30 +0000 2020,1248035019261526016,"@KnivesOut_CH ･AndroidなんですがVC付けながら画面録画すると音がバグります。ちなみに5,6ヶ月くらい前は普通に聞こえてました
･今言った通りAndroidでVC付けながら画面録画するとなります
･JP  ID  2476818229","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,モブってら。,_N_e_k0,,1031327683152498689,8728,104,103,24037,あんどろいどうぃん          @_Saki_Cat
Wed Apr 08 23:48:30 +0000 2020,1248035020008067072,"いいねするだけでスタバやアマゾンギフト券がもらえる「ギフトチャット」というアプリ、の登録時に友達招待コード「974682636」を入力で、お互い500円分もらえます!! 
iOS→ https://t.co/4hqXlC1X7N… https://t.co/jaWSr6wMXb","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",0,,ja,,0,False,True,ギフトチャット 紹介,giftchat_shotai,神奈 横浜市 神奈川区,887197434899714048,8560,40,45,1,いいねするだけでスタバやアマゾンギフト券がもらえる「ギフトチャット」というアプリの登録時に友達招待コード「974682636」を入力すると、お互い500円分もらえます♪
Wed Apr 08 23:48:32 +0000 2020,1248035028426092545,I read qmap. Pub. Is still is only a matter of how many questions can we make up so people will follow back. The fi… https://t.co/zEH3jNuhz2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,True,@milbit70,haggard_millie,"Arizona, USA",1223464523798962176,8039,112,58,3771,
Wed Apr 08 23:48:34 +0000 2020,1248035034696765441,Bixby Voice Support Arrives on Netflix’s Android App https://t.co/PSTCriXN2a https://t.co/Z5OEdHySW3,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,,en,,0,False,False,Somag News,somagnews,,1171911505413103616,8409,57,0,3,"interactive news
https://www.somagnews.com"
Wed Apr 08 23:48:43 +0000 2020,1248035071774216192,モイ！Androidからキャス配信中 - https://t.co/zJIfyZecoX,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,がだらる,GARUDARA_,尸魂界,1039183833415839745,25888,300,202,20543,"お絵描きとポケモンと艦これとかパズドラあと東方                                 配信ポケモン集めてます 数は400ちょいぐらい
がるだらの本物🐒"
Wed Apr 08 23:48:43 +0000 2020,1248035072126660608,@Snapchat Make a better and more optimized Android app...,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,Jason Wiltjer,jmwilt17,,1224496494574735360,3991,448,402,5760,"New account from @jmwiltjer.
Mechanical engineering student graduating in Spring of 2021."
Wed Apr 08 23:48:45 +0000 2020,1248035082826321922,"@GORE_MINE I absolutely recommend Firestick.
It's android base allows for more flexibility.
Paired up with our grea… https://t.co/w8BjMZ7Ig7","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,,en,,0,False,True,Ron Burgundy,CheetahStreams,"New York, NY",1199169311174250498,1656,132,300,276,"Reliable and responsive streams are what the people want!
We have the hook ups for VOD, sports, entertainment, family, and so much more!"
Wed Apr 08 23:48:46 +0000 2020,1248035086936702976,"⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️
TIKTOKK🔰

🎉Ganhe até R$ 100, convidando seus amigos p/ o TikTok🎉

👉 1 - Clique p/ baixar o T… https://t.co/hv4fA0nRbB","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,pt,,0,False,True,pra vocês ficarem com fome,Ssthefane1,"Norton Disney, England",2193197140,6355,3409,2987,7208,"Por mais difícil que seja, nunca deixe de acreditar em dias melhores 🌈

DIGITE ESSE CÓDIGO 22166234 NO TIKTOK PRA ENTRA JÁ COM DINHEIRO NA CONTA. 💫👏😱 LINK👇"
Wed Apr 08 23:48:52 +0000 2020,1248035112882585600,"あーあーあー私も人力やりてぇ…！
パソコンなら内部音声録音できるけどワイスマホAndroidだから内部音声録音出来ねぇ…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,🐬ぬもた🦈 動画up,numota1024,,1164858971456360448,2820,263,66,2420,"同担他担さんウェルカム 腐も夢もいけるので苦手な方ご注意
基本的に好きなように絵を落としていく
🐬🦈の2人多め 🐙寮 腐は🐬🦈のリバと🦈🌹 🐬&🦈🐙
声優さんも好き 別界隈は声優きらみゅん 成人済 誤字脱字マン"
Wed Apr 08 23:48:53 +0000 2020,1248035113763590147,"@aguila_regio @theraggakramer @Soy_el_Aisaac @AnneOrPin Ya wey, no se te valla a calentar tu android!! 😂😂😂😂","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,es,,0,False,False,RICK,Rick80814362,Tejeringo el chico,1166078432087859202,1674,131,185,2222,"Ser mejor que el día anterior, vivir para la familia, estar ahí cada día."
Wed Apr 08 23:48:54 +0000 2020,1248035118666530818,うっわお前Twitter for Androidじゃん気持ちわりーー近づかんといてー,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",0,,ja,,0,False,False,チームATfA 公式アカウント,teamATfA_sv,,1084191270883344384,11275,14,10,2,シャドバチーム ATfA(アンチTwitter for Android)の公式アカウントです。
Wed Apr 08 23:48:54 +0000 2020,1248035119492771840,@gminky_ FontCreatorって…そのソフトは時々フォントのパラメーターを改竄します。それからバグが多く出ます(ただWindowsで、MacOSやAndroidなどはパラメーターが大切ではない)。あなたが変更したフォン… https://t.co/0TSxuM02Yh,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,True,Sim-CH,SimCH57908978,シャンハイ,1242401823161380864,80,19,20,41,"Sim CheonHyeongです。中国人。言語学が大好き。
＞http://cheonhyeong.com/Japanese.html
＞http://yedict.com"
